GO_terms	Class	Description
GO:0002342	BP	central B cell deletion
GO:0002343	BP	peripheral B cell selection
GO:0002344	BP	B cell affinity maturation
GO:0002345	BP	peripheral B cell receptor editing
GO:0002346	BP	B cell positive selection
GO:0002348	BP	central B cell positive selection
GO:0002350	BP	peripheral B cell positive selection
GO:0002352	BP	B cell negative selection
GO:0002354	BP	central B cell negative selection
GO:0002356	BP	peripheral B cell negative selection
GO:0002358	BP	B cell homeostatic proliferation
GO:0002359	BP	B-1 B cell proliferation
GO:0002360	BP	T cell lineage commitment
GO:0002361	BP	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation 
GO:0002362	BP	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment 
GO:0002363	BP	alpha-beta T cell lineage commitment
GO:0002364	BP	NK T cell lineage commitment
GO:0002365	BP	gamma-delta T cell lineage commitment
GO:0002366	BP	leukocyte activation involved in immune response
GO:0002368	BP	B cell cytokine production
GO:0002369	BP	T cell cytokine production
GO:0002377	BP	immunoglobulin production
GO:0002378	BP	immunoglobulin biosynthetic process
GO:0002379	BP	immunoglobulin biosynthetic process involved in immune response
GO:0002380	BP	immunoglobulin production involved in immunoglobulin-mediated immune response
GO:0002381	BP	immunoglobulin production involved in immunoglobulin mediated immune response
GO:0002383	BP	immune response in brain or nervous system
GO:0002384	BP	hepatic immune response
GO:0002390	BP	platelet activating factor production
GO:0002391	BP	platelet activating factor production involved in inflammatory response
GO:0002392	BP	platelet activating factor secretion
GO:0002402	BP	B cell tolerance induction in mucosal-associated lymphoid tissue
GO:0002403	BP	T cell tolerance induction in mucosal-associated lymphoid tissue
GO:0002411	BP	T cell tolerance induction to tumor cell
GO:0002414	BP	immunoglobulin transcytosis in epithelial cells
GO:0002415	BP	immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor
GO:0002416	BP	IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor
GO:0002417	BP	B cell antigen processing and presentation mediated by B cell receptor uptake of antigen
GO:0002419	BP	T cell mediated cytotoxicity directed against tumor cell target
GO:0002421	BP	B cell antigen processing and presentation following pinocytosis
GO:0002424	BP	T cell mediated immune response to tumor cell
GO:0002426	BP	immunoglobulin production in mucosal tissue
GO:0002430	BP	complement receptor mediated signaling pathway
GO:0002443	BP	leukocyte mediated immunity
GO:0002444	BP	myeloid leukocyte mediated immunity
GO:0002449	BP	lymphocyte mediated immunity
GO:0002450	BP	B cell antigen processing and presentation
GO:0002451	BP	peripheral B cell tolerance induction
GO:0002452	BP	B cell receptor editing
GO:0002453	BP	peripheral B cell anergy
GO:0002454	BP	peripheral B cell deletion
GO:0002455	BP	humoral immune response mediated by circulating immunoglobulin
GO:0002456	BP	T cell mediated immunity
GO:0002457	BP	T cell antigen processing and presentation
GO:0002458	BP	peripheral T cell tolerance induction
GO:0002460	BP	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002510	BP	central B cell tolerance induction
GO:0002511	BP	central B cell receptor editing
GO:0002512	BP	central T cell tolerance induction
GO:0002514	BP	B cell tolerance induction
GO:0002515	BP	B cell anergy
GO:0002516	BP	B cell deletion
GO:0002517	BP	T cell tolerance induction
GO:0002518	BP	lymphocyte chemotaxis across high endothelial venule
GO:0002521	BP	leukocyte differentiation
GO:0002522	BP	leukocyte migration involved in immune response
GO:0002523	BP	leukocyte migration involved in inflammatory response
GO:0002530	BP	regulation of systemic arterial blood pressure involved in acute-phase response
GO:0002531	BP	regulation of heart contraction involved in acute-phase response
GO:0002535	BP	platelet activating factor production involved in inflammatory response
GO:0002543	BP	activation of blood coagulation via clotting cascade
GO:0002554	BP	serotonin secretion by platelet
GO:0002555	BP	histamine secretion by platelet
GO:0002564	BP	alternate splicing of immunoglobulin genes
GO:0002568	BP	somatic diversification of T cell receptor genes
GO:0002570	BP	somatic diversification of immunoglobulin genes by N region addition
GO:0002571	BP	somatic diversification of T cell receptor genes by N region addition
GO:0002572	BP	pro-T cell differentiation
GO:0002573	BP	myeloid leukocyte differentiation
GO:0002576	BP	platelet degranulation
GO:0002622	BP	regulation of B cell antigen processing and presentation
GO:0002623	BP	negative regulation of B cell antigen processing and presentation
GO:0002624	BP	positive regulation of B cell antigen processing and presentation
GO:0002625	BP	regulation of T cell antigen processing and presentation
GO:0002626	BP	negative regulation of T cell antigen processing and presentation
GO:0002627	BP	positive regulation of T cell antigen processing and presentation
GO:0002637	BP	regulation of immunoglobulin production
GO:0002638	BP	negative regulation of immunoglobulin production
GO:0002639	BP	positive regulation of immunoglobulin production
GO:0002640	BP	regulation of immunoglobulin biosynthetic process
GO:0002641	BP	negative regulation of immunoglobulin biosynthetic process
GO:0002642	BP	positive regulation of immunoglobulin biosynthetic process
GO:0002661	BP	regulation of B cell tolerance induction
GO:0002662	BP	negative regulation of B cell tolerance induction
GO:0002663	BP	positive regulation of B cell tolerance induction
GO:0002664	BP	regulation of T cell tolerance induction
GO:0002665	BP	negative regulation of T cell tolerance induction
GO:0002666	BP	positive regulation of T cell tolerance induction
GO:0002667	BP	regulation of T cell anergy
GO:0002668	BP	negative regulation of T cell anergy
GO:0002669	BP	positive regulation of T cell anergy
GO:0002670	BP	regulation of B cell anergy
GO:0002671	BP	negative regulation of B cell anergy
GO:0002672	BP	positive regulation of B cell anergy
GO:0002680	BP	pro-T cell lineage commitment
GO:0002681	BP	somatic recombination of T cell receptor gene segments
GO:0002685	BP	regulation of leukocyte migration
GO:0002686	BP	negative regulation of leukocyte migration
GO:0002687	BP	positive regulation of leukocyte migration
GO:0002688	BP	regulation of leukocyte chemotaxis
GO:0002689	BP	negative regulation of leukocyte chemotaxis
GO:0002690	BP	positive regulation of leukocyte chemotaxis
GO:0002694	BP	regulation of leukocyte activation
GO:0002695	BP	negative regulation of leukocyte activation
GO:0002696	BP	positive regulation of leukocyte activation
GO:0002703	BP	regulation of leukocyte mediated immunity
GO:0002704	BP	negative regulation of leukocyte mediated immunity
GO:0002705	BP	positive regulation of leukocyte mediated immunity
GO:0002706	BP	regulation of lymphocyte mediated immunity
GO:0002707	BP	negative regulation of lymphocyte mediated immunity
GO:0002708	BP	positive regulation of lymphocyte mediated immunity
GO:0002709	BP	regulation of T cell mediated immunity
GO:0002710	BP	negative regulation of T cell mediated immunity
GO:0002711	BP	positive regulation of T cell mediated immunity
GO:0002712	BP	regulation of B cell mediated immunity
GO:0002713	BP	negative regulation of B cell mediated immunity
GO:0002714	BP	positive regulation of B cell mediated immunity
GO:0002721	BP	regulation of B cell cytokine production
GO:0002722	BP	negative regulation of B cell cytokine production
GO:0002723	BP	positive regulation of B cell cytokine production
GO:0002724	BP	regulation of T cell cytokine production
GO:0002725	BP	negative regulation of T cell cytokine production
GO:0002726	BP	positive regulation of T cell cytokine production
GO:0002761	BP	regulation of myeloid leukocyte differentiation
GO:0002762	BP	negative regulation of myeloid leukocyte differentiation
GO:0002763	BP	positive regulation of myeloid leukocyte differentiation
GO:0002770	BP	T cell inhibitory signaling pathway
GO:0002771	BP	inhibitory killer cell immunoglobulin-like receptor signaling pathway
GO:0002773	BP	B cell inhibitory signaling pathway
GO:0002812	BP	biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0002813	BP	regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0002814	BP	negative regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0002815	BP	biosynthetic process of antibacterial peptides active against Gram-positive bacteria
GO:0002816	BP	regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria
GO:0002817	BP	negative regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria
GO:0002822	BP	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002823	BP	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002824	BP	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002840	BP	regulation of T cell mediated immune response to tumor cell
GO:0002841	BP	negative regulation of T cell mediated immune response to tumor cell
GO:0002842	BP	positive regulation of T cell mediated immune response to tumor cell
GO:0002846	BP	regulation of T cell tolerance induction to tumor cell
GO:0002847	BP	negative regulation of T cell tolerance induction to tumor cell
GO:0002848	BP	positive regulation of T cell tolerance induction to tumor cell
GO:0002849	BP	regulation of peripheral T cell tolerance induction
GO:0002850	BP	negative regulation of peripheral T cell tolerance induction
GO:0002851	BP	positive regulation of peripheral T cell tolerance induction
GO:0002852	BP	regulation of T cell mediated cytotoxicity directed against tumor cell target
GO:0002853	BP	negative regulation of T cell mediated cytotoxicity directed against tumor cell target
GO:0002854	BP	positive regulation of T cell mediated cytotoxicity directed against tumor cell target
GO:0002867	BP	regulation of B cell deletion
GO:0002868	BP	negative regulation of B cell deletion
GO:0002869	BP	positive regulation of B cell deletion
GO:0002870	BP	T cell anergy
GO:0002886	BP	regulation of myeloid leukocyte mediated immunity
GO:0002887	BP	negative regulation of myeloid leukocyte mediated immunity
GO:0002888	BP	positive regulation of myeloid leukocyte mediated immunity
GO:0002889	BP	regulation of immunoglobulin mediated immune response
GO:0002890	BP	negative regulation of immunoglobulin mediated immune response
GO:0002891	BP	positive regulation of immunoglobulin mediated immune response
GO:0002895	BP	regulation of central B cell tolerance induction
GO:0002896	BP	negative regulation of central B cell tolerance induction
GO:0002897	BP	positive regulation of central B cell tolerance induction
GO:0002898	BP	regulation of central B cell deletion
GO:0002899	BP	negative regulation of central B cell deletion
GO:0002900	BP	positive regulation of central B cell deletion
GO:0002901	BP	mature B cell apoptotic process
GO:0002902	BP	regulation of B cell apoptotic process
GO:0002903	BP	negative regulation of B cell apoptotic process
GO:0002904	BP	positive regulation of B cell apoptotic process
GO:0002905	BP	regulation of mature B cell apoptotic process
GO:0002906	BP	negative regulation of mature B cell apoptotic process
GO:0002907	BP	positive regulation of mature B cell apoptotic process
GO:0002908	BP	regulation of peripheral B cell deletion
GO:0002909	BP	negative regulation of peripheral B cell deletion
GO:0002910	BP	positive regulation of peripheral B cell deletion
GO:0002911	BP	regulation of lymphocyte anergy
GO:0002912	BP	negative regulation of lymphocyte anergy
GO:0002913	BP	positive regulation of lymphocyte anergy
GO:0002914	BP	regulation of central B cell anergy
GO:0002915	BP	negative regulation of central B cell anergy
GO:0002916	BP	positive regulation of central B cell anergy
GO:0002917	BP	regulation of peripheral B cell anergy
GO:0002918	BP	negative regulation of peripheral B cell anergy
GO:0002919	BP	positive regulation of peripheral B cell anergy
GO:0002923	BP	regulation of humoral immune response mediated by circulating immunoglobulin
GO:0002924	BP	negative regulation of humoral immune response mediated by circulating immunoglobulin
GO:0002925	BP	positive regulation of humoral immune response mediated by circulating immunoglobulin
GO:0002928	CC	obsolete Ada2/Gcn5/Ada3 transcription activator complex
GO:0003001	BP	obsolete generation of a signal involved in cell-cell signaling
GO:0003003	BP	follicular fluid formation in ovarian follicle antrum involved in fused antrum stage
GO:0003004	BP	follicular fluid formation in ovarian follicle antrum involved in distinct antral spaces stage
